CustomerID,total_orders,total_spent,festival_orders,inactive_days,returns_count,discount_usage_rate,app_sessions_per_month,days_since_last_purchase,avg_order_value,seasonal_engagement_ratio,loyalty_score
1,56,158387,30,80,4,0.33,11,82,2828.339285714286,0.5357142857142857,1.19
2,97,11052,21,148,4,0.32,52,132,113.9381443298969,0.2164948453608247,1.28
3,19,20521,14,26,5,0.03,37,40,1080.0526315789473,0.7368421052631579,1.12
4,76,70690,37,231,13,0.7,15,248,930.1315789473684,0.4868421052631579,0.94
5,65,36546,36,110,7,0.31,20,51,562.2461538461539,0.5538461538461539,1.16
6,25,158044,27,78,13,0.63,37,183,6321.76,1.0,0.9
7,87,105713,10,278,2,0.03,49,161,1215.0919540229886,0.1149425287356321,1.04
8,91,196457,13,126,2,0.0,8,126,2158.868131868132,0.1428571428571428,1.22
9,79,103617,10,280,10,0.17,2,295,1311.607594936709,0.1265822784810126,0.87
10,79,23030,8,318,4,0.7,38,152,291.5189873417722,0.1012658227848101,0.92
11,92,172448,23,340,10,0.6,50,339,1874.434782608696,0.25,0.91
12,28,90831,9,181,0,0.2,27,319,3243.964285714286,0.3214285714285714,1.03
13,7,78400,37,118,4,0.52,50,234,11200.0,1.0,0.78
14,26,19055,42,265,8,0.62,14,252,732.8846153846154,1.0,0.67
15,57,157565,40,177,4,0.94,24,316,2764.2982456140357,0.7017543859649122,1.06
16,6,75861,36,200,6,0.76,35,128,12643.5,1.0,0.36
17,92,122184,41,69,9,0.14,28,354,1328.0869565217392,0.4456521739130434,1.31
18,34,117524,31,157,8,0.27,56,52,3456.5882352941176,0.9117647058823528,1.0
19,42,117826,19,310,7,0.4,34,49,2805.3809523809523,0.4523809523809524,0.76
20,6,37775,13,97,14,0.11,17,66,6295.833333333333,1.0,-0.31
21,68,183129,37,204,4,0.56,33,297,2693.073529411765,0.5441176470588235,1.07
22,64,86909,3,85,11,0.91,23,143,1357.953125,0.046875,1.16
23,25,37253,23,360,12,0.31,8,57,1490.12,0.92,0.4
24,37,52884,31,279,1,0.98,33,110,1429.2972972972973,0.8378378378378378,0.88
25,80,77497,54,84,4,0.25,19,305,968.7125,0.675,1.27
26,62,18705,52,358,9,0.47,12,187,301.6935483870968,0.8387096774193549,0.7
27,26,176748,9,214,7,0.34,4,262,6798.0,0.3461538461538461,0.76
28,93,92640,53,132,10,0.31,31,192,996.1290322580644,0.5698924731182796,1.21
29,53,8101,42,246,0,0.38,44,69,152.8490566037736,0.7924528301886793,1.02
30,95,63495,15,140,9,0.03,56,168,668.3684210526316,0.1578947368421052,1.26
31,63,136815,38,75,3,0.53,55,287,2171.6666666666665,0.6031746031746031,1.32
32,46,9951,31,97,0,0.74,21,198,216.32608695652172,0.6739130434782609,1.2
33,96,139086,17,302,4,0.86,12,97,1448.8125,0.1770833333333333,0.94
34,64,37180,24,54,12,0.32,7,45,580.9375,0.375,1.17
35,84,57977,6,304,1,0.55,18,96,690.202380952381,0.0714285714285714,0.94
36,19,191606,55,258,14,0.89,39,12,10084.526315789471,1.0,0.46
37,66,64209,52,21,11,0.8,11,167,972.8636363636364,0.7878787878787878,1.25
38,66,173980,46,34,1,0.46,33,150,2636.060606060606,0.696969696969697,1.37
39,51,109575,50,27,6,0.16,22,334,2148.529411764706,0.9803921568627452,1.26
40,66,51918,17,169,3,0.56,8,291,786.6363636363636,0.2575757575757575,1.08
41,55,140291,46,139,13,0.99,39,216,2550.7454545454543,0.8363636363636363,1.05
42,59,139235,17,128,1,0.76,31,99,2359.915254237288,0.288135593220339,1.19
43,68,134542,2,99,10,0.85,53,269,1978.558823529412,0.0294117647058823,1.23
44,7,148615,0,246,2,0.19,27,168,21230.714285714286,0.0,0.7
45,55,151348,32,22,2,0.9,51,21,2751.7818181818184,0.5818181818181818,1.38
46,11,121014,6,356,1,0.01,28,200,11001.272727272728,0.5454545454545454,0.64
47,25,168953,9,283,6,0.86,23,142,6758.12,0.36,0.7
